B25024_001E,B25024_002E,B25024_003E,B25024_004E,B25024_005E,B25024_006E,B25024_007E,B25024_008E,B25024_009E,B25024_010E,B25024_011E,NAME,state,county,tract
2475,1424,175,0,0,50,40,31,755,0,0,Census Tract 1.01; Travis County; Texas,48,453,000101
1122,899,70,33,19,74,0,0,7,20,0,Census Tract 1.02; Travis County; Texas,48,453,000102
1112,19,0,11,7,32,19,147,868,0,9,Census Tract 2.03; Travis County; Texas,48,453,000203
1560,792,106,165,8,19,188,207,39,36,0,Census Tract 2.04; Travis County; Texas,48,453,000204
2693,1008,154,0,198,65,313,436,519,0,0,Census Tract 2.05; Travis County; Texas,48,453,000205
1952,844,108,12,28,63,368,156,373,0,0,Census Tract 2.06; Travis County; Texas,48,453,000206
3523,1280,220,155,22,61,578,601,606,0,0,Census Tract 3.02; Travis County; Texas,48,453,000302
1676,852,121,98,36,96,147,100,226,0,0,Census Tract 3.04; Travis County; Texas,48,453,000304
1989,893,171,124,159,54,225,284,79,0,0,Census Tract 3.05; Travis County; Texas,48,453,000305
881,578,67,136,0,0,17,59,24,0,0,Census Tract 3.07; Travis County; Texas,48,453,000307
1090,253,300,0,31,19,0,73,414,0,0,Census Tract 3.08; Travis County; Texas,48,453,000308
2913,832,408,67,0,88,0,71,1447,0,0,Census Tract 3.09; Travis County; Texas,48,453,000309
2321,850,29,87,88,52,104,317,794,0,0,Census Tract 4.01; Travis County; Texas,48,453,000401
1803,758,51,16,11,47,32,415,473,0,0,Census Tract 4.02; Travis County; Texas,48,453,000402
2386,770,25,214,196,327,326,477,51,0,0,Census Tract 5; Travis County; Texas,48,453,000500
458,87,9,0,9,0,96,145,112,0,0,Census Tract 6.01; Travis County; Texas,48,453,000601
1549,129,0,62,0,21,218,273,846,0,0,Census Tract 6.05; Travis County; Texas,48,453,000605
2027,20,92,9,53,63,153,189,1448,0,0,Census Tract 6.06; Travis County; Texas,48,453,000606
1582,88,0,39,91,262,310,213,579,0,0,Census Tract 6.07; Travis County; Texas,48,453,000607
1030,71,0,0,0,0,67,21,871,0,0,Census Tract 6.08; Travis County; Texas,48,453,000608
894,41,15,24,32,15,125,166,476,0,0,Census Tract 7; Travis County; Texas,48,453,000700
971,700,53,20,10,20,0,95,73,0,0,Census Tract 8.01; Travis County; Texas,48,453,000801
1586,666,91,30,375,265,82,0,77,0,0,Census Tract 8.02; Travis County; Texas,48,453,000802
1915,1113,154,33,8,25,75,125,378,4,0,Census Tract 8.03; Travis County; Texas,48,453,000803
1181,701,76,34,113,115,59,33,50,0,0,Census Tract 8.04; Travis County; Texas,48,453,000804
1434,600,42,35,0,0,0,11,746,0,0,Census Tract 9.01; Travis County; Texas,48,453,000901
4074,1178,63,84,322,85,241,305,1760,36,0,Census Tract 9.02; Travis County; Texas,48,453,000902
1682,1298,66,85,13,0,13,61,146,0,0,Census Tract 10; Travis County; Texas,48,453,001000
877,6,0,0,38,0,72,162,599,0,0,Census Tract 11.01; Travis County; Texas,48,453,001101
2695,66,0,0,0,0,0,117,2512,0,0,Census Tract 11.02; Travis County; Texas,48,453,001102
2581,24,0,0,0,0,119,139,2299,0,0,Census Tract 11.03; Travis County; Texas,48,453,001103
4560,598,130,173,26,197,394,259,2759,0,24,Census Tract 12; Travis County; Texas,48,453,001200
2145,935,607,159,24,30,69,72,249,0,0,Census Tract 13.04; Travis County; Texas,48,453,001304
2370,898,265,162,209,234,318,64,136,84,0,Census Tract 13.07; Travis County; Texas,48,453,001307
1796,548,221,146,191,61,214,78,328,0,9,Census Tract 13.08; Travis County; Texas,48,453,001308
1671,526,74,55,0,45,8,160,767,36,0,Census Tract 13.09; Travis County; Texas,48,453,001309
2658,389,99,17,60,61,259,371,1402,0,0,Census Tract 13.10; Travis County; Texas,48,453,001310
