B01003_001E,NAME,state,county,tract
4494,Census Tract 1.01; Travis County; Texas,48,453,000101
2155,Census Tract 1.02; Travis County; Texas,48,453,000102
3020,Census Tract 2.03; Travis County; Texas,48,453,000203
2593,Census Tract 2.04; Travis County; Texas,48,453,000204
4549,Census Tract 2.05; Travis County; Texas,48,453,000205
3906,Census Tract 2.06; Travis County; Texas,48,453,000206
5474,Census Tract 3.02; Travis County; Texas,48,453,000302
3054,Census Tract 3.04; Travis County; Texas,48,453,000304
3529,Census Tract 3.05; Travis County; Texas,48,453,000305
1875,Census Tract 3.07; Travis County; Texas,48,453,000307
2258,Census Tract 3.08; Travis County; Texas,48,453,000308
5267,Census Tract 3.09; Travis County; Texas,48,453,000309
4516,Census Tract 4.01; Travis County; Texas,48,453,000401
3207,Census Tract 4.02; Travis County; Texas,48,453,000402
3931,Census Tract 5; Travis County; Texas,48,453,000500
10105,Census Tract 6.01; Travis County; Texas,48,453,000601
2779,Census Tract 6.05; Travis County; Texas,48,453,000605
4553,Census Tract 6.06; Travis County; Texas,48,453,000606
3038,Census Tract 6.07; Travis County; Texas,48,453,000607
3627,Census Tract 6.08; Travis County; Texas,48,453,000608
1321,Census Tract 7; Travis County; Texas,48,453,000700
2000,Census Tract 8.01; Travis County; Texas,48,453,000801
3912,Census Tract 8.02; Travis County; Texas,48,453,000802
3300,Census Tract 8.03; Travis County; Texas,48,453,000803
2607,Census Tract 8.04; Travis County; Texas,48,453,000804
3171,Census Tract 9.01; Travis County; Texas,48,453,000901
6016,Census Tract 9.02; Travis County; Texas,48,453,000902
3291,Census Tract 10; Travis County; Texas,48,453,001000
1755,Census Tract 11.01; Travis County; Texas,48,453,001101
3571,Census Tract 11.02; Travis County; Texas,48,453,001102
3522,Census Tract 11.03; Travis County; Texas,48,453,001103
6842,Census Tract 12; Travis County; Texas,48,453,001200
3966,Census Tract 13.04; Travis County; Texas,48,453,001304
5081,Census Tract 13.07; Travis County; Texas,48,453,001307
3191,Census Tract 13.08; Travis County; Texas,48,453,001308
2897,Census Tract 13.09; Travis County; Texas,48,453,001309
3908,Census Tract 13.10; Travis County; Texas,48,453,001310
1379,Census Tract 13.11; Travis County; Texas,48,453,001311
4732,Census Tract 13.12; Travis County; Texas,48,453,001312
2597,Census Tract 14.01; Travis County; Texas,48,453,001401
2200,Census Tract 14.02; Travis County; Texas,48,453,001402
1477,Census Tract 14.03; Travis County; Texas,48,453,001403
5799,Census Tract 15.01; Travis County; Texas,48,453,001501
5214,Census Tract 15.03; Travis County; Texas,48,453,001503
6729,Census Tract 15.04; Travis County; Texas,48,453,001504
4702,Census Tract 15.05; Travis County; Texas,48,453,001505
2892,Census Tract 16.02; Travis County; Texas,48,453,001602
4390,Census Tract 16.03; Travis County; Texas,48,453,001603
4111,Census Tract 16.04; Travis County; Texas,48,453,001604
4712,Census Tract 16.05; Travis County; Texas,48,453,001605
86,Census Tract 16.06; Travis County; Texas,48,453,001606
4753,Census Tract 19.10; Travis County; Texas,48,453,001910
3018,Census Tract 19.11; Travis County; Texas,48,453,001911
4324,Census Tract 19.12; Travis County; Texas,48,453,001912
4937,Census Tract 19.13; Travis County; Texas,48,453,001913
5926,Census Tract 19.14; Travis County; Texas,48,453,001914
3154,Census Tract 19.15; Travis County; Texas,48,453,001915
3135,Census Tract 19.16; Travis County; Texas,48,453,001916
4440,Census Tract 19.17; Travis County; Texas,48,453,001917
2650,Census Tract 19.18; Travis County; Texas,48,453,001918
3799,Census Tract 19.19; Travis County; Texas,48,453,001919
6857,Census Tract 19.20; Travis County; Texas,48,453,001920
3693,Census Tract 19.21; Travis County; Texas,48,453,001921
2123,Census Tract 19.22; Travis County; Texas,48,453,001922
3422,Census Tract 19.23; Travis County; Texas,48,453,001923
2793,Census Tract 20.02; Travis County; Texas,48,453,002002
3576,Census Tract 20.03; Travis County; Texas,48,453,002003
3011,Census Tract 20.04; Travis County; Texas,48,453,002004
2363,Census Tract 20.06; Travis County; Texas,48,453,002006
2504,Census Tract 20.07; Travis County; Texas,48,453,002007
2589,Census Tract 21.04; Travis County; Texas,48,453,002104
4818,Census Tract 21.05; Travis County; Texas,48,453,002105
3012,Census Tract 21.06; Travis County; Texas,48,453,002106
4884,Census Tract 21.07; Travis County; Texas,48,453,002107
4251,Census Tract 21.08; Travis County; Texas,48,453,002108
4121,Census Tract 21.09; Travis County; Texas,48,453,002109
4037,Census Tract 21.10; Travis County; Texas,48,453,002110
4835,Census Tract 21.11; Travis County; Texas,48,453,002111
6244,Census Tract 21.12; Travis County; Texas,48,453,002112
3564,Census Tract 21.13; Travis County; Texas,48,453,002113
2720,Census Tract 22.01; Travis County; Texas,48,453,002201
4700,Census Tract 22.11; Travis County; Texas,48,453,002211
4776,Census Tract 22.13; Travis County; Texas,48,453,002213
3986,Census Tract 22.14; Travis County; Texas,48,453,002214
3646,Census Tract 22.15; Travis County; Texas,48,453,002215
9411,Census Tract 22.16; Travis County; Texas,48,453,002216
6160,Census Tract 22.17; Travis County; Texas,48,453,002217
5019,Census Tract 22.18; Travis County; Texas,48,453,002218
6591,Census Tract 22.19; Travis County; Texas,48,453,002219
3342,Census Tract 22.20; Travis County; Texas,48,453,002220
2167,Census Tract 22.21; Travis County; Texas,48,453,002221
3138,Census Tract 22.22; Travis County; Texas,48,453,002222
3850,Census Tract 23.04; Travis County; Texas,48,453,002304
4844,Census Tract 23.07; Travis County; Texas,48,453,002307
2858,Census Tract 23.10; Travis County; Texas,48,453,002310
3730,Census Tract 23.13; Travis County; Texas,48,453,002313
5527,Census Tract 23.14; Travis County; Texas,48,453,002314
2622,Census Tract 23.15; Travis County; Texas,48,453,002315
4563,Census Tract 23.16; Travis County; Texas,48,453,002316
2340,Census Tract 23.19; Travis County; Texas,48,453,002319
3987,Census Tract 23.20; Travis County; Texas,48,453,002320
3837,Census Tract 23.21; Travis County; Texas,48,453,002321
2254,Census Tract 23.22; Travis County; Texas,48,453,002322
4569,Census Tract 23.23; Travis County; Texas,48,453,002323
1247,Census Tract 23.24; Travis County; Texas,48,453,002324
4085,Census Tract 23.25; Travis County; Texas,48,453,002325
903,Census Tract 23.26; Travis County; Texas,48,453,002326
4874,Census Tract 23.27; Travis County; Texas,48,453,002327
2353,Census Tract 24.03; Travis County; Texas,48,453,002403
8665,Census Tract 24.07; Travis County; Texas,48,453,002407
3360,Census Tract 24.09; Travis County; Texas,48,453,002409
3816,Census Tract 24.10; Travis County; Texas,48,453,002410
5796,Census Tract 24.11; Travis County; Texas,48,453,002411
5173,Census Tract 24.12; Travis County; Texas,48,453,002412
3366,Census Tract 24.13; Travis County; Texas,48,453,002413
3927,Census Tract 24.19; Travis County; Texas,48,453,002419
8141,Census Tract 24.22; Travis County; Texas,48,453,002422
6261,Census Tract 24.23; Travis County; Texas,48,453,002423
3548,Census Tract 24.24; Travis County; Texas,48,453,002424
1962,Census Tract 24.30; Travis County; Texas,48,453,002430
5153,Census Tract 24.32; Travis County; Texas,48,453,002432
1997,Census Tract 24.34; Travis County; Texas,48,453,002434
2727,Census Tract 24.36; Travis County; Texas,48,453,002436
4899,Census Tract 24.37; Travis County; Texas,48,453,002437
7026,Census Tract 24.38; Travis County; Texas,48,453,002438
2876,Census Tract 24.39; Travis County; Texas,48,453,002439
6544,Census Tract 24.40; Travis County; Texas,48,453,002440
5581,Census Tract 24.41; Travis County; Texas,48,453,002441
2935,Census Tract 24.42; Travis County; Texas,48,453,002442
4050,Census Tract 24.43; Travis County; Texas,48,453,002443
4230,Census Tract 24.44; Travis County; Texas,48,453,002444
7136,Census Tract 24.45; Travis County; Texas,48,453,002445
1623,Census Tract 24.46; Travis County; Texas,48,453,002446
3288,Census Tract 24.47; Travis County; Texas,48,453,002447
7782,Census Tract 24.48; Travis County; Texas,48,453,002448
7203,Census Tract 24.49; Travis County; Texas,48,453,002449
3877,Census Tract 24.50; Travis County; Texas,48,453,002450
7535,Census Tract 24.51; Travis County; Texas,48,453,002451
3098,Census Tract 24.52; Travis County; Texas,48,453,002452
5475,Census Tract 24.53; Travis County; Texas,48,453,002453
6052,Census Tract 25; Travis County; Texas,48,453,002500
4279,Census Tract 300; Travis County; Texas,48,453,030000
3494,Census Tract 301; Travis County; Texas,48,453,030100
5039,Census Tract 302; Travis County; Texas,48,453,030200
4298,Census Tract 303; Travis County; Texas,48,453,030300
4451,Census Tract 304; Travis County; Texas,48,453,030400
6951,Census Tract 305; Travis County; Texas,48,453,030500
5820,Census Tract 306; Travis County; Texas,48,453,030600
