B25034_001E,B25034_002E,B25034_003E,B25034_004E,B25034_005E,B25034_006E,B25034_007E,B25034_008E,B25034_009E,B25034_010E,B25034_011E,NAME,state,county,tract
2475,70,295,174,59,224,179,268,1049,87,70,Census Tract 1.01; Travis County; Texas,48,453,000101
1122,39,34,40,44,171,137,170,449,29,9,Census Tract 1.02; Travis County; Texas,48,453,000102
1112,5,414,364,210,99,9,0,0,0,11,Census Tract 2.03; Travis County; Texas,48,453,000203
1560,8,60,177,139,151,178,119,124,169,435,Census Tract 2.04; Travis County; Texas,48,453,000204
2693,0,479,141,41,474,364,403,558,179,54,Census Tract 2.05; Travis County; Texas,48,453,000205
1952,0,132,94,0,206,408,280,347,346,139,Census Tract 2.06; Travis County; Texas,48,453,000206
3523,0,94,171,428,273,750,398,276,387,746,Census Tract 3.02; Travis County; Texas,48,453,000302
1676,0,127,110,31,179,272,369,169,217,202,Census Tract 3.04; Travis County; Texas,48,453,000304
1989,0,189,113,210,203,341,181,178,287,287,Census Tract 3.05; Travis County; Texas,48,453,000305
881,0,56,0,0,22,40,62,281,413,7,Census Tract 3.07; Travis County; Texas,48,453,000307
1090,48,873,24,0,18,61,31,0,35,0,Census Tract 3.08; Travis County; Texas,48,453,000308
2913,0,1622,1043,23,10,11,156,38,10,0,Census Tract 3.09; Travis County; Texas,48,453,000309
2321,0,721,102,165,172,139,143,205,525,149,Census Tract 4.01; Travis County; Texas,48,453,000401
1803,0,495,105,162,122,160,192,314,163,90,Census Tract 4.02; Travis County; Texas,48,453,000402
2386,0,11,135,295,330,347,279,162,86,741,Census Tract 5; Travis County; Texas,48,453,000500
458,0,62,120,56,23,104,0,20,9,64,Census Tract 6.01; Travis County; Texas,48,453,000601
1549,16,270,527,70,189,273,39,37,29,99,Census Tract 6.05; Travis County; Texas,48,453,000605
2027,0,541,602,263,174,377,0,0,41,29,Census Tract 6.06; Travis County; Texas,48,453,000606
1582,0,27,525,304,269,180,97,68,0,112,Census Tract 6.07; Travis County; Texas,48,453,000607
1030,0,567,185,119,67,71,21,0,0,0,Census Tract 6.08; Travis County; Texas,48,453,000608
894,0,75,49,4,58,130,348,63,80,87,Census Tract 7; Travis County; Texas,48,453,000700
971,52,304,109,26,11,21,34,200,55,159,Census Tract 8.01; Travis County; Texas,48,453,000801
1586,26,263,144,246,327,85,154,201,113,27,Census Tract 8.02; Travis County; Texas,48,453,000802
1915,30,734,203,90,33,6,36,155,170,458,Census Tract 8.03; Travis County; Texas,48,453,000803
1181,5,198,139,24,46,83,142,26,69,449,Census Tract 8.04; Travis County; Texas,48,453,000804
1434,24,593,377,123,43,27,59,6,23,159,Census Tract 9.01; Travis County; Texas,48,453,000901
4074,67,1887,963,84,108,138,45,114,329,339,Census Tract 9.02; Travis County; Texas,48,453,000902
1682,12,228,227,26,38,122,161,95,252,521,Census Tract 10; Travis County; Texas,48,453,001000
877,0,202,29,35,133,102,118,20,45,193,Census Tract 11.01; Travis County; Texas,48,453,001101
